bigram,neg_count,pos_count,pos_perc,neg_perc
soooo good,0,39,inf,0.0
sound like,-4,29,7.25,0.13793103448275862
soy milk,-7,64,9.142857142857142,0.109375
soy sauce,-1,38,38.0,0.02631578947368421
space small,-1,25,25.0,0.04
special milk,0,41,inf,0.0
spicy ajisen,-2,32,16.0,0.0625
spicy mayo,-9,97,10.777777777777779,0.09278350515463918
spicy ramen,-2,24,12.0,0.08333333333333333
spicy salmon,-3,32,10.666666666666666,0.09375
spicy tuna,-3,44,14.666666666666666,0.06818181818181818
spot chinatown,-3,35,11.666666666666666,0.08571428571428572
spot city,0,26,inf,0.0
spot get,-2,47,23.5,0.0425531914893617
spot great,-1,24,24.0,0.041666666666666664
spot quick,-1,26,26.0,0.038461538461538464
spring roll,-4,95,23.75,0.042105263157894736
st mark,0,7,inf,0.0
staff also,0,28,inf,0.0
staff always,-2,56,28.0,0.03571428571428571
staff friendly,-2,231,115.5,0.008658008658008658
staff great,0,34,inf,0.0
staff nice,-4,101,25.25,0.039603960396039604
staff really,-3,39,13.0,0.07692307692307693
staff super,-1,86,86.0,0.011627906976744186
stamp card,-5,86,17.2,0.05813953488372093
star review,-2,27,13.5,0.07407407407407407
stay away,-9,20,2.2222222222222223,0.45
still good,-2,90,45.0,0.022222222222222223
still pretty,0,39,inf,0.0
still taste,-4,34,8.5,0.11764705882352941
still warm,-1,24,24.0,0.041666666666666664
stop get,-2,39,19.5,0.05128205128205128
stop place,-2,26,13.0,0.07692307692307693
stop try,-2,30,15.0,0.06666666666666667
store small,-1,29,29.0,0.034482758620689655
strawberry mango,-1,23,23.0,0.043478260869565216
strawberry milk,-1,70,70.0,0.014285714285714285
strong flavor,0,91,inf,0.0
strong taste,-3,50,16.666666666666668,0.06
stubby cup,-2,62,31.0,0.03225806451612903
stubby size,-1,41,41.0,0.024390243902439025
student discount,-1,40,40.0,0.025
stumble upon,-1,68,68.0,0.014705882352941176
stumptown coffee,0,33,inf,0.0
sugar add,-3,26,8.666666666666666,0.11538461538461539
sugar coffee,-1,24,24.0,0.041666666666666664
sugar cream,-1,36,36.0,0.027777777777777776
sugar drink,-9,99,11.0,0.09090909090909091
sugar flavor,-1,41,41.0,0.024390243902439025
sugar good,-5,28,5.6,0.17857142857142858
sugar ice,-12,128,10.666666666666666,0.09375
sugar less,-4,49,12.25,0.08163265306122448
sugar level,-14,282,20.142857142857142,0.04964539007092199
sugar like,0,27,inf,0.0
sugar milk,-32,582,18.1875,0.054982817869415807
sugar oolong,-1,50,50.0,0.02
sugar pearl,-5,70,14.0,0.07142857142857142
sugar perfect,0,35,inf,0.0
sugar really,0,28,inf,0.0
sugar still,-1,36,36.0,0.027777777777777776
sugar sweet,-2,41,20.5,0.04878048780487805
sugar syrup,0,33,inf,0.0
sugar tapioca,0,28,inf,0.0
sugar taste,-6,52,8.666666666666666,0.11538461538461539
sugar want,-3,24,8.0,0.125
summer day,-3,85,28.333333333333332,0.03529411764705882
summer roll,-7,117,16.714285714285715,0.05982905982905983
sunday afternoon,-1,31,31.0,0.03225806451612903
super clean,0,30,inf,0.0
super cute,-1,95,95.0,0.010526315789473684
super delicious,-1,39,39.0,0.02564102564102564
super excite,0,29,inf,0.0
super fast,0,40,inf,0.0
super fresh,0,52,inf,0.0
super friendly,-1,166,166.0,0.006024096385542169
super good,0,35,inf,0.0
super nice,-3,100,33.333333333333336,0.03
super refreshing,0,36,inf,0.0
super sweet,-4,77,19.25,0.05194805194805195
super tasty,0,26,inf,0.0
super yummy,0,26,inf,0.0
sure get,-1,53,53.0,0.018867924528301886
sure would,-3,35,11.666666666666666,0.08571428571428572
surreal creamery,-2,42,21.0,0.047619047619047616
sushi place,-3,38,12.666666666666666,0.07894736842105263
sushi roll,-1,28,28.0,0.03571428571428571
sweet also,0,31,inf,0.0
sweet chewy,0,29,inf,0.0
sweet creamy,-1,26,26.0,0.038461538461538464
sweet definitely,0,37,inf,0.0
sweet drink,-1,64,64.0,0.015625
sweet enough,-7,56,8.0,0.125
sweet even,-2,36,18.0,0.05555555555555555
sweet flavor,-3,44,14.666666666666666,0.06818181818181818
sweet get,-2,34,17.0,0.058823529411764705
sweet good,-2,37,18.5,0.05405405405405406
sweet like,-6,61,10.166666666666666,0.09836065573770492
sweet milk,-1,39,39.0,0.02564102564102564
sweet perfect,-1,46,46.0,0.021739130434782608
sweet really,0,27,inf,0.0
sweet right,-1,25,25.0,0.04
sweet side,-1,65,65.0,0.015384615384615385
sweet soft,-1,29,29.0,0.034482758620689655
sweet sweet,-3,42,14.0,0.07142857142857142
sweet taste,-9,87,9.666666666666666,0.10344827586206896
sweet tooth,0,70,inf,0.0
sweet would,-1,38,38.0,0.02631578947368421
sweetness drink,0,32,inf,0.0
sweetness ice,-2,28,14.0,0.07142857142857142
sweetness level,-1,100,100.0,0.01
swirl soft,-1,41,41.0,0.024390243902439025
taiwan bear,-2,46,23.0,0.043478260869565216
taiwanese bento,-1,35,35.0,0.02857142857142857
taiwanese food,0,103,inf,0.0
taiwanese popcorn,0,31,inf,0.0
take away,-1,25,25.0,0.04
take card,-6,26,4.333333333333333,0.23076923076923078
take drink,-2,28,14.0,0.07142857142857142
take food,0,26,inf,0.0
take home,-3,29,9.666666666666666,0.10344827586206896
take long,-4,59,14.75,0.06779661016949153
take minute,-8,54,6.75,0.14814814814814814
take order,-26,144,5.538461538461538,0.18055555555555555
take picture,-1,44,44.0,0.022727272727272728
take place,-1,23,23.0,0.043478260869565216
take sip,-8,36,4.5,0.2222222222222222
take time,-3,58,19.333333333333332,0.05172413793103448
tapioca ball,-7,147,21.0,0.047619047619047616
tapioca pearl,-5,166,33.2,0.030120481927710843
taro ball,0,44,inf,0.0
taro drink,-3,44,14.666666666666666,0.06818181818181818
taro flavor,-1,45,45.0,0.022222222222222223
taro matcha,-2,35,17.5,0.05714285714285714
taro milk,-21,436,20.761904761904763,0.0481651376146789
taro root,-1,46,46.0,0.021739130434782608
taro slush,-3,29,9.666666666666666,0.10344827586206896
taste amazing,0,26,inf,0.0
taste artificial,-4,25,6.25,0.16
taste authentic,-1,31,31.0,0.03225806451612903
taste bit,-8,29,3.625,0.27586206896551724
taste bud,-4,41,10.25,0.0975609756097561
taste delicious,0,28,inf,0.0
taste difference,0,26,inf,0.0
taste different,-4,22,5.5,0.18181818181818182
taste drink,-2,52,26.0,0.038461538461538464
taste flavor,-1,44,44.0,0.022727272727272728
taste fresh,-4,97,24.25,0.041237113402061855
taste good,-18,247,13.722222222222221,0.0728744939271255
taste great,-4,119,29.75,0.03361344537815126
taste like,-69,583,8.44927536231884,0.1183533447684391
taste little,-3,34,11.333333333333334,0.08823529411764706
taste milk,-5,43,8.6,0.11627906976744186
taste much,0,26,inf,0.0
taste pretty,-3,57,19.0,0.05263157894736842
taste really,-10,73,7.3,0.136986301369863
taste similar,-3,22,7.333333333333333,0.13636363636363635
taste strong,0,27,inf,0.0
taste sweet,-4,29,7.25,0.13793103448275862
ten ren,-40,353,8.825,0.11331444759206799
texture flavor,-1,28,28.0,0.03571428571428571
thai food,-1,48,48.0,0.020833333333333332
thai ice,-14,142,10.142857142857142,0.09859154929577464
thai iced,-5,31,6.2,0.16129032258064516
thai milk,-6,53,8.833333333333334,0.11320754716981132
thing like,-14,115,8.214285714285714,0.12173913043478261
thing menu,-4,69,17.25,0.057971014492753624
thing place,-3,46,15.333333333333334,0.06521739130434782
thing would,-2,71,35.5,0.028169014084507043
think best,0,28,inf,0.0
think could,-2,23,11.5,0.08695652173913043
think drink,-3,40,13.333333333333334,0.075
think get,-3,24,8.0,0.125
think good,-1,30,30.0,0.03333333333333333
think place,-3,43,14.333333333333334,0.06976744186046512
think pretty,-1,32,32.0,0.03125
think worth,-1,27,27.0,0.037037037037037035
think would,-12,122,10.166666666666666,0.09836065573770492
